date,sentiment,trend
2021-01-03,0.3818,1
2021-01-03,0.1531,1
2021-01-03,0.0,0
2021-01-03,0.0,0
2021-01-03,0.34,1
2021-01-03,0.5859,1
2021-01-03,0.6369,1
2021-01-03,-0.4215,0
2021-01-03,0.0,0
2021-01-03,0.7096,1
2021-01-03,0.0516,1
2021-01-03,0.9382,1
2021-01-03,0.0,0
2021-01-03,0.5083,1
2021-01-04,0.6486,1
2021-01-04,-0.2551,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.8481,1
2021-01-04,-0.1511,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,-0.1531,0
2021-01-04,0.4404,1
2021-01-04,0.3612,1
2021-01-04,0.2732,1
2021-01-04,0.0,0
2021-01-04,0.4019,1
2021-01-04,0.0,0
2021-01-04,0.7906,1
2021-01-04,0.0,0
2021-01-04,0.498,1
2021-01-04,0.5106,1
2021-01-04,0.4215,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.25,1
2021-01-04,0.0,0
2021-01-04,0.4019,1
2021-01-04,-0.7351,0
2021-01-04,-0.1531,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.4019,1
2021-01-04,-0.4588,0
2021-01-04,0.4939,1
2021-01-04,0.7906,1
2021-01-04,0.7351,1
2021-01-04,0.0,0
2021-01-04,0.7351,1
2021-01-04,0.5859,1
2021-01-04,0.0,0
2021-01-04,0.5106,1
2021-01-04,0.0,0
2021-01-04,0.4215,1
2021-01-04,0.0772,1
2021-01-04,0.0772,1
2021-01-04,-0.2263,0
2021-01-04,0.296,1
2021-01-04,-0.128,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.4588,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.6192,1
2021-01-04,0.6808,1
2021-01-04,-0.4019,0
2021-01-04,-0.5994,0
2021-01-04,0.0,0
2021-01-04,0.5994,1
2021-01-04,0.0,0
2021-01-04,0.4019,1
2021-01-04,0.0,0
2021-01-04,-0.2023,0
2021-01-04,0.0,0
2021-01-04,0.3612,1
2021-01-04,0.0,0
2021-01-04,0.5423,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,-0.5423,0
2021-01-04,-0.6124,0
2021-01-04,-0.4767,0
2021-01-04,0.6808,1
2021-01-04,0.0,0
2021-01-04,-0.4215,0
2021-01-04,0.3612,1
2021-01-04,0.0,0
2021-01-04,0.1531,1
2021-01-04,-0.2732,0
2021-01-04,0.0,0
2021-01-04,0.4588,1
2021-01-04,-0.8225,0
2021-01-04,-0.296,0
